Height_km, Temperature_K, N2_nDensity_m3, O2_nDensity_m3, N_nDensity_m3, O_nDensity_m3
138.0, 620.8, 7.437751230803976e+16, 1.045837001750226e+16, 0.0, 2.8882441550925932e+16
139.0, 633.3, 6.933348942532403e+16, 9682040256642666.0, 0.0, 2.7518266117397636e+16
140.0, 645.5, 6.4736341296121096e+16, 8975857615894040.0, 0.0, 2.6248062499999996e+16
141.0, 657.4, 6.055261944181646e+16, 8336571295529802.0, 0.0, 2.506158588576159e+16
142.0, 669.2, 5.672311681584943e+16, 7760551233131835.0, 0.0, 2.3956786855999796e+16
143.0, 680.7, 5.322616253637003e+16, 7229537824821912.0, 0.0, 2.2932827411708644e+16
144.0, 691.9, 5.000228398643517e+16, 6748158232907805.0, 0.0, 2.1971608432922852e+16
145.0, 702.9, 4.703780425396985e+16, 6307840709018860.0, 0.0, 2.1076567387515044e+16
146.0, 713.7, 4.4319413782726456e+16, 5904333584110744.0, 0.0, 2.0241858712007224e+16
147.0, 724.2, 4.1793438032795096e+16, 5536071082702337.0, 0.0, 1.9451622527203892e+16
148.0, 734.5, 3.946925068061327e+16, 5193877695586761.0, 0.0, 1.870780591775326e+16
149.0, 744.6, 3.731572606541113e+16, 4882518696407081.0, 0.0, 1.801770761771638e+16
150.0, 754.4, 3.5314744541860064e+16, 4593422638857550.0, 0.0, 1.735489864902978e+16
151.0, 763.9, 3.3454719635874e+16, 4326124254236438.5, 0.0, 1.6740585878747618e+16
152.0, 773.3, 3.172800105284268e+16, 4078644599011080.5, 0.0, 1.615447458450316e+16
153.0, 782.4, 3.0112077326047724e+16, 3847823646167536.0, 0.0, 1.5604639262081416e+16
154.0, 791.3, 2.8612231745395172e+16, 3634097807424303.5, 0.0, 1.5080961330709846e+16
155.0, 800.0, 2.719076630489272e+16, 3436418483369260.0, 0.0, 1.4576228249699216e+16
156.0, 808.4, 2.5884693009861356e+16, 3251162754411470.0, 0.0, 1.4108196098919694e+16
157.0, 816.7, 2.465453391264034e+16, 3080464076283079.5, 0.0, 1.3666403125313252e+16
158.0, 824.7, 2.3491617984949596e+16, 2920076377054932.5, 0.0, 1.323687514722835e+16
159.0, 832.6, 2.240863394468153e+16, 2770977846832397.5, 0.0, 1.2833091153142544e+16
160.0, 840.3, 2.1376714521971964e+16, 2629086549062844.5, 0.0, 1.2438451488423372e+16
161.0, 847.7, 2.042250023625768e+16, 2498368660418964.0, 0.0, 1.2073684140711136e+16
162.0, 855.0, 1.9517342347220036e+16, 2374788795479603.0, 0.0, 1.1721713926405734e+16
163.0, 862.1, 1.8660833398960468e+16, 2258211135611908.0, 0.0, 1.1383525530595372e+16
164.0, 869.1, 1.7850776742762652e+16, 2150619630374323.8, 0.0, 1.1058995189416718e+16
165.0, 875.9, 1.7088706880878416e+16, 2047351636092043.2, 0.0, 1.0754762811278684e+16
166.0, 882.5, 1.6359054360585804e+16, 1951345221840866.0, 0.0, 1.0454558175293116e+16
167.0, 888.9, 1.5679058388687672e+16, 1859595491156428.5, 0.0, 1.0171863087483714e+16
168.0, 895.2, 1.5030008245061554e+16, 1774344363727455.0, 0.0, 9897296843687376.0
169.0, 901.4, 1.4428147901664924e+16, 1693641411808548.2, 0.0, 9643973973469286.0
170.0, 907.4, 1.3840514494345834e+16, 1616941679609218.2, 0.0, 9387860025676352.0
171.0, 913.3, 1.3286761740266248e+16, 1545025456224950.2, 0.0, 9145697292084170.0
